id,lat,lon,scientific_name,local_name,english_common_name,source,water_tower_id,notes_source
bio_0037,0.314214,37.233792,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892507720, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0038,-1.739238,35.922833,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892502292, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",loita_hills,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0039,-1.374375,36.750228,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892498143, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0040,-1.375470,36.746059,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892739218, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0041,-0.943830,36.595528,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 4046556827, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0042,-0.942861,36.595995,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 4062979533, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0043,-0.943600,36.597378,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 4075695909, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0044,-0.943525,36.598068,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 4076224946, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0045,-0.943189,36.598619,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892466394, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0046,-0.943287,36.598608,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892538538, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0047,-0.943607,36.598733,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892825585, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0048,-0.934695,36.602325,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 4846766660, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0049,-0.945038,36.602405,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892375590, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0050,-1.441079,35.215130,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 4424111944, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",loita_hills,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0051,-0.252657,37.064344,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892766818, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0052,-1.066126,35.234187,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892869613, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",loita_hills,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0053,2.628363,36.927912,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892909325, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kulal,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0054,-1.070922,35.218850,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 2634294312, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",loita_hills,KEFRI Olea africana fact sheet; GBM indigenous list
